###################################################
# begin->end: 100 0
# x bin size: 0.5
# actual yz bin size: 3.72071
# method: adress
# input: traj.xtc
###################################################
# load frame at time: 100.0 ps# load frame at time: 140.0 ps# load frame at time: 180.0 ps# load frame at time: 220.0 ps# load frame at time: 260.0 ps# load frame at time: 300.0 ps# load frame at time: 340.0 ps# load frame at time: 380.0 ps# load frame at time: 420.0 ps# load frame at time: 460.0 ps# load frame at time: 500.0 ps# load frame at time: 540.0 ps# load frame at time: 580.0 ps# load frame at time: 620.0 ps# load frame at time: 660.0 ps# load frame at time: 700.0 ps# load frame at time: 740.0 ps# load frame at time: 780.0 ps# load frame at time: 820.0 ps# load frame at time: 860.0 ps# load frame at time: 900.0 ps# load frame at time: 940.0 ps# load frame at time: 980.0 ps
# rho  rho_error  comp  comp_error 
0.125000 9.873502e+02  2.062608e+00  1.535043e-09  9.323467e-11 
0.500000 9.891398e+02  1.787312e+00  1.031628e-09  1.037511e-10 
1.000000 9.903952e+02  2.455454e+00  1.101007e-09  9.009440e-11 
1.500000 9.938278e+02  2.218841e+00  1.115948e-09  1.121286e-10 
2.000000 9.958835e+02  2.924104e+00  1.122657e-09  1.148060e-10 
2.500000 1.000888e+03  3.467354e+00  1.086121e-09  8.125009e-11 
3.000000 9.985159e+02  3.617462e+00  1.048986e-09  1.185447e-10 
3.500000 1.001987e+03  2.282621e+00  1.006155e-09  9.522141e-11 
4.000000 1.001779e+03  2.528669e+00  1.039835e-09  9.253992e-11 
4.500000 1.001058e+03  3.399810e+00  1.115187e-09  1.564732e-10 
5.000000 9.979528e+02  3.499184e+00  1.020000e-09  1.043794e-10 
5.500000 9.953590e+02  2.351884e+00  1.016038e-09  1.005279e-10 
6.000000 9.931818e+02  2.114062e+00  1.116054e-09  6.018411e-11 
6.500000 9.891108e+02  2.137832e+00  1.123302e-09  7.048047e-11 
7.000000 9.903508e+02  1.738584e+00  1.081434e-09  9.875204e-11 
7.375000 9.916120e+02  2.994348e+00  1.594811e-09  1.115875e-10 
